	Air Quality Network	Air Quality Network Name	Air Quality Station EoI Code	Air Quality Station Name	Air Pollutant	Air Pollutant Description	Year	Air Pollution Level	Unit Of Air Pollution Level	Data Coverage	Verification	Air Quality Station Type	Air Quality Station Area	Longitude	Latitude	Altitude	Source Of Data Flow	Calculation Time
6195	NET-RS002A	Serbian national AQ network	RS0005R	Kamenicki vis	O3	Ozone (air)	2021	132.487	ug/m3	93.15	3.0	Background	Rural	21.9477	43.404	804.0	E2a/UTD AQ e-Reporting	31/05/2022 20:01:37
6199	NET-RS002A	Serbian national AQ network	RS0050A	Smederevo-Centar	PM10	Particulate matter < 10 µm (aerosol)	2021	72.372	ug/m3	82.74	3.0	Traffic	Urban	20.9267	44.6641		E2a/UTD AQ e-Reporting	31/05/2022 20:34:00
6200	NET-RS002A	Serbian national AQ network	RS0050A	Smederevo-Centar	PM2.5	Particulate matter < 2.5 µm (aerosol)	2021	117.882	ug/m3	82.74	3.0	Traffic	Urban	20.9267	44.6641		E2a/UTD AQ e-Reporting	31/05/2022 20:34:36
6215	NET-RS002A	Serbian national AQ network	RS0043A	Kragujevac	NO2	Nitrogen dioxide (air)	2020	17.844	ug/m3	97.18	1.0	Background	Urban	20.925	44.0116	175.0	E1a/validated data AQ e-Reporting	31/05/2022 19:24:45
6218	NET-RS002A	Serbian national AQ network	RS0043A	Kragujevac	NO2	Nitrogen dioxide (air)	2020	15.6	ug/m3	97.18	1.0	Background	Urban	20.925	44.0116	175.0	E1a/validated data AQ e-Reporting	31/05/2022 20:29:07
6225	NET-RS002A	Serbian national AQ network	RS0043A	Kragujevac	NOX as NO2	Nitrogen oxides (air)	2019	30.178	ug/m3	98.33	1.0	Background	Urban	20.925	44.0116	175.0	E1a/validated data AQ e-Reporting	31/05/2022 20:29:07
6227	NET-RS002A	Serbian national AQ network	RS0043A	Kragujevac	CO	Carbon monoxide (air)	2021	0.0	count	93.42	3.0	Background	Urban	20.925	44.0116	175.0	E2a/UTD AQ e-Reporting	31/05/2022 20:49:38
6229	NET-RS002A	Serbian national AQ network	RS0043A	Kragujevac	CO	Carbon monoxide (air)	2020		mg/m3	0.0	3.0	Background	Urban	20.925	44.0116	175.0	E1a/validated data AQ e-Reporting	31/05/2022 20:01:37
6231	NET-RS002A	Serbian national AQ network	RS0043A	Kragujevac	As in PM10	Arsenic in PM10 (aerosol)	2020	1.06	ng/m3	12.84	1.0	Background	Urban	20.925	44.0116	175.0	E1a/validated data AQ e-Reporting	31/05/2022 19:24:45
6232	NET-RS002A	Serbian national AQ network	RS0044A	Zajecar	SO2	Sulphur dioxide (air)	2020	73.513	ug/m3	99.18	1.0	Background	Urban	22.2733	43.9021	133.0	E1a/validated data AQ e-Reporting	31/05/2022 20:36:04
6234	NET-RS002A	Serbian national AQ network	RS0044A	Zajecar	SO2	Sulphur dioxide (air)	2020	15.8	ug/m3	99.18	1.0	Background	Urban	22.2733	43.9021	133.0	E1a/validated data AQ e-Reporting	31/05/2022 20:37:34
6236	NET-RS002A	Serbian national AQ network	RS0044A	Zajecar	SO2	Sulphur dioxide (air)	2020	271.0	ug/m3	97.69	1.0	Background	Urban	22.2733	43.9021	133.0	E1a/validated data AQ e-Reporting	31/05/2022 20:14:43
6238	NET-RS002A	Serbian national AQ network	RS0044A	Zajecar	SO2	Sulphur dioxide (air)	2020	25.15	ug/m3	98.45	1.0	Background	Urban	22.2733	43.9021	133.0	E1a/validated data AQ e-Reporting	31/05/2022 21:16:40
6240	NET-RS002A	Serbian national AQ network	RS0044A	Zajecar	PM10	Particulate matter < 10 µm (aerosol)	2019	52.674	ug/m3	25.94	1.0	Background	Urban	22.2733	43.9021	133.0	Mixed E1a/validated and E2a/UTD data AQ e-Reporting	31/05/2022 19:56:28
6241	NET-RS002A	Serbian national AQ network	RS0044A	Zajecar	PM10	Particulate matter < 10 µm (aerosol)	2020	58.122	ug/m3	57.94	1.0	Background	Urban	22.2733	43.9021	133.0	Mixed E1a/validated and E2a/UTD data AQ e-Reporting	31/05/2022 19:56:28
6243	NET-RS002A	Serbian national AQ network	RS0044A	Zajecar	CO	Carbon monoxide (air)	2019	0.001	mg/m3	96.79	1.0	Background	Urban	22.2733	43.9021	133.0	E1a/validated data AQ e-Reporting	31/05/2022 19:24:45
6247	NET-RS002A	Serbian national AQ network	RS0045A	Cacak-Institut	NO2	Nitrogen dioxide (air)	2020	17.229	ug/m3	99.18	1.0	Background	Suburban	20.3455	43.8932	242.0	E1a/validated data AQ e-Reporting	31/05/2022 20:37:17
6250	NET-RS002A	Serbian national AQ network	RS0045A	Cacak-Institut	NOX as NO2	Nitrogen oxides (air)	2020	388.3	ug/m3	97.76	1.0	Background	Suburban	20.3455	43.8932	242.0	E1a/validated data AQ e-Reporting	31/05/2022 20:14:43
6256	NET-RS002A	Serbian national AQ network	RS0047A	Kopaonik	O3	Ozone (air)	2020	96.67	ug/m3	100.0	1.0	Background	Rural	20.8021	43.2841	1712.0	E1a/validated data AQ e-Reporting	31/05/2022 21:31:12
6260	NET-RS002A	Serbian national AQ network	RS0048A	Vranje	NO2	Nitrogen dioxide (air)	2021	19.221	ug/m3	90.96	3.0	Background	Urban	21.8966	42.5511	473.0	E2a/UTD AQ e-Reporting	31/05/2022 20:37:17
